epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3271,1.08705,3.55089,1.28901,0.01159,0.34426,0.16599,0.13212,0.72653,3.79944,1.06718,7.5e-05,7.5e-05,7.5e-05
2,128.201,0.87539,2.94568,1.13865,0.02534,0.31093,0.22618,0.16967,0.67202,3.5913,0.96713,0.000160891,0.000160891,0.000160891
3,193.852,0.87574,1.84795,1.09964,0.04188,0.29245,0.22345,0.1479,0.7497,3.42142,1.0114,0.00024505,0.00024505,0.00024505
4,263.334,0.85418,1.4045,1.11407,0.0823,0.6502,0.49165,0.39258,0.74699,3.21787,1.00452,0.000327476,0.000327476,0.000327476
5,325.346,0.85517,1.26522,1.08323,0.98735,0.204,0.61623,0.4791,0.80025,2.95224,1.01684,0.00040817,0.00040817,0.00040817
6,385.414,0.83493,1.16185,1.06744,0.96845,0.22826,0.69917,0.55484,0.79252,2.81719,1.0519,0.000487131,0.000487131,0.000487131
7,448.165,0.84896,1.07228,1.06891,0.96936,0.22826,0.60478,0.45536,0.9376,2.85872,1.15435,0.00056436,0.00056436,0.00056436
8,508.765,0.79022,1.03819,1.02557,0.93014,0.22826,0.69408,0.53776,0.87462,2.69361,1.11469,0.000639856,0.000639856,0.000639856
9,568.378,0.78433,0.97901,1.04821,0.89468,0.22826,0.69649,0.53682,0.86962,2.6905,1.0722,0.00071362,0.00071362,0.00071362
10,628.78,0.74499,0.94483,1.01604,0.9577,0.24857,0.66212,0.51593,0.90463,2.67359,1.10124,0.000785651,0.000785651,0.000785651
11,690.67,0.77653,0.92374,1.02124,0.84415,0.34141,0.68987,0.51519,0.90561,2.62207,1.15756,0.00085595,0.00085595,0.00085595
12,750.734,0.7633,0.8639,1.01203,0.75837,0.27951,0.65088,0.46561,0.95239,2.73923,1.17856,0.000924516,0.000924516,0.000924516
13,809.598,0.78361,0.87169,1.02694,0.87003,0.29643,0.71968,0.5236,0.94617,2.58192,1.1741,0.00099135,0.00099135,0.00099135
14,868.518,0.73374,0.84077,1.02118,0.77554,0.51843,0.81813,0.59478,0.93792,2.21113,1.18018,0.00105645,0.00105645,0.00105645
15,927.803,0.7436,0.80961,0.98243,0.78705,0.67588,0.83907,0.61929,0.9836,1.92284,1.22846,0.00107675,0.00107675,0.00107675
16,990.996,0.73478,0.80707,1.00938,0.78779,0.68657,0.81017,0.57754,1.0308,2.07605,1.30162,0.00106437,0.00106437,0.00106437
17,1049.69,0.75356,0.81965,1.01532,0.813,0.69467,0.84127,0.58925,1.01341,1.85471,1.28065,0.001052,0.001052,0.001052
18,1108.33,0.73561,0.76272,0.99369,0.80878,0.76292,0.86377,0.62862,0.95674,1.60656,1.15806,0.00103962,0.00103962,0.00103962
19,1169.95,0.73557,0.7424,1.00331,0.81006,0.78301,0.87347,0.67882,0.85053,1.60842,1.06102,0.00102725,0.00102725,0.00102725
20,1242.85,0.69455,0.74698,0.977,0.86635,0.80686,0.88683,0.6733,0.85503,1.54386,1.06606,0.00101488,0.00101488,0.00101488
21,1311.07,0.71212,0.74754,0.99656,0.8437,0.80936,0.88983,0.64953,0.92561,1.54851,1.12511,0.0010025,0.0010025,0.0010025
22,1377.35,0.70395,0.7153,0.98803,0.85202,0.82933,0.90522,0.68218,0.8622,1.39304,1.06495,0.000990125,0.000990125,0.000990125
23,1440.58,0.71361,0.73665,1.00298,0.88283,0.868,0.91575,0.69882,0.87783,1.29028,1.07564,0.00097775,0.00097775,0.00097775
24,1511.86,0.69041,0.6885,0.97308,0.88493,0.88566,0.9305,0.70799,0.8917,1.17043,1.10863,0.000965375,0.000965375,0.000965375
25,1609.3,0.65315,0.68668,0.968,0.9413,0.886,0.9157,0.70424,0.87784,1.06497,1.12312,0.000953,0.000953,0.000953
26,1692.94,0.65431,0.67334,0.97262,0.88071,0.88435,0.9045,0.70324,0.86684,1.20469,1.09896,0.000940625,0.000940625,0.000940625
27,1755.15,0.66213,0.69129,0.97654,0.8468,0.87616,0.89948,0.69408,0.87315,1.22586,1.08183,0.00092825,0.00092825,0.00092825
28,1810.71,0.65715,0.64694,0.95982,0.87242,0.89976,0.91547,0.70254,0.82935,1.02688,1.06431,0.000915875,0.000915875,0.000915875
29,1864.46,0.63038,0.64242,0.96995,0.89713,0.90647,0.92519,0.70291,0.86477,0.96964,1.06828,0.0009035,0.0009035,0.0009035
30,1918.83,0.64762,0.6541,0.95399,0.90629,0.91958,0.92979,0.71016,0.88829,0.97811,1.07663,0.000891125,0.000891125,0.000891125
31,1974.72,0.687,0.68226,0.97621,0.89281,0.89158,0.93287,0.71455,0.89034,1.04436,1.06048,0.00087875,0.00087875,0.00087875
32,2032.59,0.64052,0.61777,0.94605,0.8897,0.88786,0.93991,0.70026,0.86234,0.9587,1.06628,0.000866375,0.000866375,0.000866375
33,2094.19,0.64563,0.64631,0.99015,0.90316,0.87313,0.93903,0.71588,0.86163,0.96243,1.0655,0.000854,0.000854,0.000854
34,2153.83,0.63736,0.63587,0.97332,0.89127,0.8398,0.92563,0.6981,0.85663,1.19765,1.07218,0.000841625,0.000841625,0.000841625
35,2213.72,0.63609,0.62085,0.95442,0.87374,0.76233,0.89863,0.6784,0.87294,1.23648,1.09019,0.00082925,0.00082925,0.00082925
36,2276.91,0.6143,0.61716,0.95196,0.89181,0.87319,0.90917,0.69638,0.84712,1.08681,1.06234,0.000816875,0.000816875,0.000816875
37,2341.35,0.60881,0.58958,0.96486,0.90062,0.84459,0.90818,0.71471,0.8271,1.02686,1.03429,0.0008045,0.0008045,0.0008045
38,2400.57,0.60355,0.60672,0.94703,0.91325,0.88425,0.93318,0.74026,0.8158,0.9518,1.03502,0.000792125,0.000792125,0.000792125
39,2457.45,0.58304,0.58966,0.95572,0.9399,0.872,0.95271,0.75755,0.78347,0.88705,1.00654,0.00077975,0.00077975,0.00077975
40,2513.5,0.617,0.60248,0.95812,0.95041,0.87481,0.95357,0.76937,0.78365,0.88256,1.00455,0.000767375,0.000767375,0.000767375
41,2576.98,0.61208,0.59123,0.96635,0.92183,0.89597,0.94821,0.75284,0.78375,0.89167,1.02055,0.000755,0.000755,0.000755
42,2634.42,0.60167,0.58014,0.95356,0.90214,0.89505,0.94762,0.74015,0.80102,0.82533,1.02904,0.000742625,0.000742625,0.000742625
43,2695.5,0.6167,0.59282,0.95318,0.89938,0.92201,0.95313,0.75863,0.77534,0.81412,1.01628,0.00073025,0.00073025,0.00073025
44,2753.33,0.57918,0.57603,0.98307,0.92088,0.91291,0.96235,0.75392,0.80323,0.81854,1.01921,0.000717875,0.000717875,0.000717875
45,2811.23,0.57795,0.55858,0.93485,0.93776,0.91736,0.96179,0.76372,0.77936,0.79147,1.00484,0.0007055,0.0007055,0.0007055
46,2868.38,0.57747,0.56689,0.94075,0.91255,0.91752,0.93937,0.74,0.76817,0.83623,1.00838,0.000693125,0.000693125,0.000693125
47,2923.15,0.58196,0.54523,0.9486,0.9431,0.92545,0.94125,0.7459,0.75709,0.81876,1.00443,0.00068075,0.00068075,0.00068075
48,2978.59,0.54449,0.54527,0.93699,0.93932,0.92952,0.93799,0.75174,0.77745,0.81191,0.99377,0.000668375,0.000668375,0.000668375
49,3038.06,0.54994,0.53187,0.94117,0.94193,0.91806,0.9308,0.7323,0.75783,0.80974,0.97664,0.000656,0.000656,0.000656
50,3100.21,0.5698,0.54597,0.95077,0.92413,0.90683,0.92488,0.71912,0.79287,0.84434,0.99822,0.000643625,0.000643625,0.000643625
51,3168.62,0.53553,0.51722,0.93147,0.89787,0.88786,0.92727,0.7001,0.85454,0.87092,1.02423,0.00063125,0.00063125,0.00063125
52,3239.77,0.56882,0.53908,0.92665,0.92379,0.89834,0.91832,0.71059,0.78339,0.80425,0.99279,0.000618875,0.000618875,0.000618875
53,3305.35,0.55515,0.51451,0.92505,0.91773,0.90858,0.91795,0.72167,0.75487,0.77707,0.98077,0.0006065,0.0006065,0.0006065
54,3369.68,0.54843,0.51841,0.9067,0.92276,0.8771,0.91574,0.74016,0.73069,0.78069,0.97867,0.000594125,0.000594125,0.000594125
55,3460.76,0.55803,0.52706,0.93412,0.94831,0.87228,0.91601,0.72375,0.75852,0.83984,1.00266,0.00058175,0.00058175,0.00058175
56,3535.95,0.55885,0.5207,0.92889,0.90464,0.89991,0.91372,0.73287,0.75258,0.83011,0.98281,0.000569375,0.000569375,0.000569375
57,3597.79,0.50814,0.47532,0.91116,0.92858,0.90575,0.92086,0.73448,0.75176,0.83101,0.98268,0.000557,0.000557,0.000557
58,3660.64,0.51176,0.50267,0.93424,0.9292,0.89116,0.91206,0.73337,0.73621,0.82364,0.97391,0.000544625,0.000544625,0.000544625
59,3724.81,0.57072,0.52532,0.94676,0.93145,0.89853,0.91805,0.74478,0.73718,0.82212,0.97092,0.00053225,0.00053225,0.00053225
60,3791.68,0.51626,0.47714,0.92306,0.93274,0.89306,0.92261,0.7447,0.7608,0.81056,0.97832,0.000519875,0.000519875,0.000519875
61,3863.68,0.52732,0.48764,0.92505,0.93514,0.89334,0.92394,0.74269,0.75745,0.79468,0.97203,0.0005075,0.0005075,0.0005075
62,3936.99,0.51897,0.48127,0.92486,0.91694,0.8951,0.9213,0.75289,0.722,0.74172,0.95312,0.000495125,0.000495125,0.000495125
63,4014.29,0.50363,0.45907,0.91459,0.93462,0.8951,0.93202,0.76186,0.71018,0.73367,0.95369,0.00048275,0.00048275,0.00048275
64,4090.02,0.50224,0.46754,0.91985,0.91727,0.8951,0.93259,0.74984,0.73205,0.74113,0.97093,0.000470375,0.000470375,0.000470375
65,4172.98,0.5164,0.46605,0.90957,0.91767,0.89486,0.92863,0.74199,0.74004,0.7434,0.97632,0.000458,0.000458,0.000458
66,4262.68,0.51317,0.48858,0.90873,0.91998,0.89261,0.9348,0.77061,0.71126,0.70171,0.96866,0.000445625,0.000445625,0.000445625
67,4345.34,0.5003,0.45461,0.91222,0.92602,0.89633,0.93918,0.7656,0.70393,0.69065,0.9632,0.00043325,0.00043325,0.00043325
68,4427.24,0.46875,0.44048,0.90547,0.92534,0.8976,0.93056,0.76546,0.71887,0.71044,0.96296,0.000420875,0.000420875,0.000420875
69,4499.22,0.49226,0.44408,0.87911,0.92451,0.89874,0.9297,0.76334,0.72243,0.72053,0.96735,0.0004085,0.0004085,0.0004085
70,4560.5,0.49285,0.44605,0.89884,0.92231,0.8951,0.9192,0.75371,0.70506,0.71453,0.97095,0.000396125,0.000396125,0.000396125
71,4617.43,0.48046,0.46468,0.91271,0.92314,0.89687,0.91931,0.75822,0.68886,0.68491,0.96139,0.00038375,0.00038375,0.00038375
72,4679.88,0.47635,0.44257,0.90362,0.92523,0.89661,0.92217,0.75278,0.70386,0.68046,0.95959,0.000371375,0.000371375,0.000371375
73,5025.23,0.48799,0.44561,0.92027,0.92722,0.89641,0.92398,0.75551,0.70913,0.68354,0.95829,0.000359,0.000359,0.000359
74,5071.3,0.46586,0.42743,0.88441,0.92118,0.8951,0.92845,0.76346,0.71615,0.69058,0.95583,0.000346625,0.000346625,0.000346625
75,5119.12,0.46748,0.4453,0.91113,0.91804,0.8958,0.92984,0.76577,0.72072,0.68323,0.95331,0.00033425,0.00033425,0.00033425
76,5169.4,0.45568,0.4417,0.9056,0.90167,0.91957,0.92406,0.76735,0.70129,0.67633,0.94236,0.000321875,0.000321875,0.000321875
77,5222.01,0.44254,0.41327,0.89007,0.90207,0.91963,0.928,0.76421,0.69939,0.67761,0.94283,0.0003095,0.0003095,0.0003095
78,5277.38,0.46811,0.4338,0.91126,0.91972,0.8975,0.92662,0.7725,0.69457,0.66961,0.94221,0.000297125,0.000297125,0.000297125
79,5329.8,0.45763,0.43303,0.90953,0.92582,0.89886,0.92634,0.77366,0.69264,0.67205,0.93269,0.00028475,0.00028475,0.00028475
80,5377.93,0.47746,0.43687,0.90833,0.92649,0.89819,0.93656,0.77298,0.69696,0.68438,0.93055,0.000272375,0.000272375,0.000272375
81,5458.64,0.43881,0.40747,0.89264,0.92623,0.8975,0.93347,0.77389,0.69051,0.683,0.92682,0.00026,0.00026,0.00026
82,5509.08,0.4352,0.42401,0.88977,0.92939,0.8958,0.92877,0.76243,0.69567,0.68036,0.93772,0.000247625,0.000247625,0.000247625
83,5562.43,0.46678,0.42612,0.91565,0.94243,0.89741,0.92864,0.76706,0.71435,0.68139,0.95105,0.00023525,0.00023525,0.00023525
84,5621.62,0.43495,0.41071,0.88468,0.90131,0.94964,0.92603,0.75924,0.71538,0.68375,0.95321,0.000222875,0.000222875,0.000222875
85,5692.48,0.44159,0.40556,0.87924,0.94545,0.90607,0.92891,0.76695,0.71423,0.67289,0.95227,0.0002105,0.0002105,0.0002105
86,5739.65,0.39962,0.38665,0.87585,0.9459,0.9129,0.93491,0.76987,0.70621,0.65968,0.95097,0.000198125,0.000198125,0.000198125
87,5789.39,0.4186,0.39692,0.88584,0.94119,0.90307,0.93807,0.77286,0.70042,0.66091,0.95177,0.00018575,0.00018575,0.00018575
88,5842.83,0.46365,0.40754,0.89399,0.92677,0.91304,0.93829,0.76605,0.69941,0.66948,0.94881,0.000173375,0.000173375,0.000173375
89,5902.27,0.40529,0.39306,0.88181,0.92454,0.91297,0.93598,0.76711,0.69904,0.6721,0.94804,0.000161,0.000161,0.000161
90,5952.95,0.42437,0.39873,0.89028,0.93803,0.89387,0.93118,0.76058,0.70644,0.67216,0.95056,0.000148625,0.000148625,0.000148625
91,6004.28,0.3975,0.49853,0.84434,0.92814,0.89756,0.93089,0.76207,0.70902,0.66809,0.95657,0.00013625,0.00013625,0.00013625
92,6054.2,0.40561,0.476,0.86792,0.91611,0.90332,0.93324,0.76826,0.71049,0.67875,0.96476,0.000123875,0.000123875,0.000123875
93,6103.72,0.42113,0.45989,0.8423,0.9145,0.91765,0.93386,0.76058,0.71285,0.68936,0.96899,0.0001115,0.0001115,0.0001115
94,6154.33,0.4041,0.45598,0.83888,0.91607,0.91688,0.92605,0.75576,0.71371,0.7063,0.97076,9.9125e-05,9.9125e-05,9.9125e-05
95,6205.96,0.38715,0.45099,0.84322,0.92816,0.91602,0.92224,0.75476,0.71392,0.7054,0.96926,8.675e-05,8.675e-05,8.675e-05
96,6258.38,0.39563,0.43158,0.83373,0.94172,0.90722,0.92292,0.75557,0.71055,0.69763,0.96813,7.4375e-05,7.4375e-05,7.4375e-05
97,6308.54,0.39908,0.43027,0.84977,0.94277,0.90757,0.92106,0.75276,0.70936,0.69268,0.96845,6.2e-05,6.2e-05,6.2e-05
